key,parameter,symbol,baseline,unit,category,source_or_reason,notes
accelerator_count,Number of accelerators,N,8,count,Fixed,Project architecture,One cold plate per accelerator
accelerator_power_w,Power per accelerator,Q_chip,600,W,Baseline assumption,Day 1 learning baseline,Not vendor data
total_heat_load_w,Total liquid heat,Q_total,4800,W,Calculated,N times Q_chip,Assumes all accelerator power enters the coolant
tcs_supply_temp_c,TCS supply temperature,T_supply,30,degC,Boundary condition,Rack/CDU interface,Delivered to tray supply manifold
target_coolant_rise_c,Target coolant rise,Delta_T,10,degC,Design target,Day 1 baseline,Sweep later
tcs_return_temp_c,Expected TCS return,T_return,40,degC,Calculated,T_supply plus Delta_T,Mixed return baseline
device_temp_limit_c,Maximum accelerator temperature,T_limit,85,degC,Constraint,Project requirement,Later models check each device
coolant,Coolant,-,Water,-,Fixed,Initial model,Constant properties on Day 1
water_density_kg_m3,Water density,rho,997,kg/m3,Fluid property,Approximation,Constant on Day 1
water_cp_j_kgk,Water specific heat,c_p,4180,J/(kg K),Fluid property,Approximation,Constant on Day 1
parallel_branch_count,Parallel branches,N_b,8,count,Fixed,Tray architecture,One branch per cold plate
total_mass_flow_kg_s,Required mass flow,m_dot,0.11483,kg/s,Calculated,Q divided by cp times Delta_T,Verified by script
total_volume_flow_lpm,Required volume flow,V_dot,6.911,L/min,Calculated,m_dot divided by rho,Verified by script
ideal_branch_flow_lpm,Ideal branch flow,V_dot_branch,0.864,L/min,Calculated,V_dot divided by 8,Not a hydraulic solution
supply_manifold_diameter_mm,Supply manifold diameter,D_supply,TBD,mm,Design variable,Future hydraulic sizing,Keep unknown on Day 1
return_manifold_diameter_mm,Return manifold diameter,D_return,TBD,mm,Design variable,Future hydraulic sizing,Keep unknown on Day 1
pump_differential_pressure_pa,Pump differential pressure,Delta_p_pump,TBD,Pa,Boundary/design variable,Future network model,Use pump curve later

