source_id,original_filename,package_path,original_sha256,note
E01,Screenshot 2026-09-04 at 2.52.12 PM.png,evidence/fault_results_reported.png,55cc96962f011162a1cc87f8d5c6aaf291a5ffbedab21ef18e15521fa2cf185b,Reported six-scenario result table; no model rerun performed during packaging.
E02,Screenshot 2026-09-03 at 12.12.27 PM.png,evidence/nominal_operating_point_reported.png,ca52fa8b8582e720824e608c173a0bec92a6f23905a2009b2c0fd1b13d91b7ef,Reported nominal pump/tray metrics; local save paths cropped out.
E03,Screenshot 2026-09-03 at 11.02.58 AM.png,evidence/comsol_validation_1p15_reported.png,f4e6b458ad9c700d5cf5b0803d3388a9cc851f6b8bb132f81e34055ad903cb94,"Reported withheld 1.15 L/min, 750 W, 30 C COMSOL case."
E04,Screenshot 2026-09-03 at 10.59.12 AM.png,evidence/rom_validation_1p15_reported.png,78e9e59044c7759fb6b26f354805a8029e33bab94c82e6b9e728a889a8dcaefa,Reported ROM example output at the same validation condition.
E05,Screenshot 2026-09-03 at 10.57.21 AM.png,evidence/tray_fixed_flow_sensitivity_reported.png,d75c79ab9e5491c26d9b289f682d54dead3ef4974d6dafc2b13a34339fadd822,Updated 0.50-1.20 L/min ROM: fixed 8.64 L/min local-loss sensitivity.
E06,Screenshot 2026-09-02 at 12.25.15 PM.png,evidence/comsol_calibration_1p20_reported.png,c81d297c649c97f94f8cf0bdb4ada5fb98d1f0775451d121b4fbc49bccec5520,Reported 1.20 L/min CFD extension calibration point.
E07,Screenshot 2026-09-01 at 11.30.32 AM.png,evidence/header_sensitivity_reported.png,1a39465f42b9f4edd92d6dec15e6ab20ec92733aff50f6be40c43df4df9a0ccd,Original diameter/local-loss figure: exploratory solver results before ROM range extension.
E08,Screenshot 2026-09-03 at 12.11.23 PM.png,evidence/pump_curve_reported.png,6226974d8195774451008e1b9855322bd99dffc3de81c357aaf9e843cf2ed9d8,Original pump/tray operating-point plot; GUI footer cropped.
E10,Current conversation: project settings and revised fitting output,evidence/CONVERSATION_MODEL_RECORD.md,not_applicable,Text-only record of user-reported coefficient values and discussed model settings. Not a raw export or live-code inspection.
E11,image.png,evidence/rom_refit_reported.png,7e3de25490ed8bc0949abfc90f1d8536a0e6296e6064f04e9bcaa7c297c754e0,User-reported seven-point ROM refit and metrics; first path line cropped.
E12,Screenshot 2026-08-23 at 9.35.49 AM.png,evidence/power_check_0p65_reported.png,7019a63cbbddb06db9a527507e04736cfd9fc77460559b638f50a7e88658324a,Reported 450/600/750 W check at 0.65 L/min.
E13,Screenshot 2026-08-23 at 11.56.12 AM.png,evidence/power_check_1p10_reported.png,84d060cbf12e6a2a5e9b6188456ccf21328e53829a434873c5cfce73ddb2e5fc,Reported 450/600/750 W check at 1.10 L/min; detailed resistance values retained.
