scenario_id,scenario_name,scenario_type,branch_id,power_w,flow_multiplier,fault_description
uniform,Uniform workload,workload,1,600,1.0,None
uniform,Uniform workload,workload,2,600,1.0,None
uniform,Uniform workload,workload,3,600,1.0,None
uniform,Uniform workload,workload,4,600,1.0,None
uniform,Uniform workload,workload,5,600,1.0,None
uniform,Uniform workload,workload,6,600,1.0,None
uniform,Uniform workload,workload,7,600,1.0,None
uniform,Uniform workload,workload,8,600,1.0,None
nonuniform,Nonuniform workload,workload,1,450,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,2,500,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,3,550,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,4,600,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,5,650,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,6,700,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,7,750,1.0,Unequal powers with ideal branch flows
nonuniform,Nonuniform workload,workload,8,600,1.0,Unequal powers with ideal branch flows
restricted_branch,Restricted branch,fault,1,600,1.0,Branch 4 is prescribed at half flow
restricted_branch,Restricted branch,fault,2,600,1.0,Branch 4 is prescribed at half flow
restricted_branch,Restricted branch,fault,3,600,1.0,Branch 4 is prescribed at half flow
restricted_branch,Restricted branch,fault,4,600,0.5,Partial blockage or pinched hose surrogate
restricted_branch,Restricted branch,fault,5,600,1.0,Branch 4 is prescribed at half flow
restricted_branch,Restricted branch,fault,6,600,1.0,Branch 4 is prescribed at half flow
restricted_branch,Restricted branch,fault,7,600,1.0,Branch 4 is prescribed at half flow
restricted_branch,Restricted branch,fault,8,600,1.0,Branch 4 is prescribed at half flow

